City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
71,Hilo,40,US,scattered clouds,73,19.73,-155.09,77.0,0.0,0,6.93
72,Sisimiut,46,GL,scattered clouds,67,66.94,-53.67,41.68,0.0,0,17.47
73,Norman Wells,75,CA,broken clouds,40,65.28,-126.83,73.4,0.0,0,9.17
74,Castro,100,BR,overcast clouds,73,-24.79,-50.01,65.98,0.0,0,8.77
75,Constitucion,100,CL,light rain,85,-35.33,-72.42,55.78,0.28,0,22.84
76,Maraa,89,BR,light rain,63,-1.83,-65.37,87.69,0.21,0,2.82
77,Mogadishu,77,SO,broken clouds,80,2.04,45.34,78.51,0.0,0,17.22
78,Kaoma,2,ZM,clear sky,60,-14.78,24.8,53.37,0.0,0,6.58
79,Tuktoyaktuk,90,CA,overcast clouds,93,69.45,-133.04,44.6,0.0,0,10.29
80,Skibbereen,75,IE,broken clouds,72,51.55,-9.27,60.8,0.0,0,4.7
81,Panzhihua,100,CN,light rain,78,26.59,101.71,73.65,0.54,0,0.96
82,Kariba,78,ZW,broken clouds,55,-16.52,28.8,65.17,0.0,0,3.49
83,Zaysan,8,KZ,clear sky,50,47.47,84.87,59.34,0.0,0,6.69
84,Beloomut,99,RU,light rain,60,54.94,39.34,72.0,0.13,0,7.0
85,Saint-Pierre,75,RE,broken clouds,64,-21.34,55.48,69.8,0.0,0,11.41
86,Kermanshah,0,IR,clear sky,13,34.31,47.06,77.0,0.0,0,11.41
87,Port Elizabeth,0,ZA,clear sky,82,-33.92,25.57,57.2,0.0,0,6.93
88,Avarua,27,CK,scattered clouds,69,-21.21,-159.78,73.4,0.0,0,10.29
89,Barrow,1,US,clear sky,65,71.29,-156.79,46.4,0.0,0,8.05
90,Vallenar,100,CL,overcast clouds,17,-28.57,-70.76,75.94,0.0,0,2.46
91,Talnakh,87,RU,overcast clouds,61,69.49,88.4,46.4,0.0,0,13.42
92,New Norfolk,100,AU,overcast clouds,85,-42.78,147.06,39.99,0.0,0,2.37
93,Faya,20,SA,few clouds,47,18.39,42.45,77.0,0.0,0,4.54
94,Barcelos,0,PT,clear sky,77,41.54,-8.62,66.0,0.0,0,14.99
95,Kodiak,90,US,overcast clouds,87,57.79,-152.41,50.0,0.0,0,10.29
96,Hithadhoo,100,MV,light rain,77,-0.6,73.08,84.47,0.83,0,8.68
97,Arraial Do Cabo,0,BR,clear sky,65,-22.97,-42.03,77.0,0.0,0,18.34
